description,category,amount,date
Haircut at salon,Personal Care,2781,06-02-2023
Swiggy food order,Dining,2823,07-02-2023
Dinner at KFC,Dining,1620,07-02-2023
Advance rent for flat,Rent,2740,07-02-2023
Movie tickets,Entertainment,3890,08-02-2023
Metro card recharge,Transport,1078,08-02-2023
Travel package booking,Travel,552,09-02-2023
Room rent payment,Rent,4543,09-02-2023
Gas connection charges,Utilities,920,09-02-2023
Bought college books,Education,4538,10-02-2023
Bought medicines,Medical,256,10-02-2023
Mobile recharge,Utilities,1534,10-02-2023
Monthly rent for apartment,Rent,913,11-02-2023
Bought medicines,Medical,2840,11-02-2023
Online shopping on Amazon,Shopping,613,11-02-2023
Ordered pizza,Dining,4241,12-02-2023
Taxi to airport,Transport,1807,12-02-2023
Hotel reservation,Travel,1728,13-02-2023
Dinner at KFC,Dining,3292,13-02-2023
Paid health insurance premium,Insurance,4686,13-02-2023
Swiggy food order,Dining,1109,14-02-2023
Bought rice and lentils,Groceries,1772,14-02-2023
Dinner at KFC,Dining,3364,14-02-2023
Game purchase,Entertainment,3207,15-02-2023
Hotel reservation,Travel,2675,15-02-2023
Course enrollment fee,Education,2779,16-02-2023
Advance rent for flat,Rent,1647,16-02-2023
Taxi to airport,Transport,3110,16-02-2023
Home insurance premium,Insurance,2743,17-02-2023
Car insurance payment,Insurance,4941,17-02-2023
Bought medicines,Medical,3677,17-02-2023
Breakfast at cafe,Dining,1413,18-02-2023
Water bill payment,Utilities,2031,18-02-2023
Doctor consultation,Medical,1713,18-02-2023
Dinner at KFC,Dining,1579,19-02-2023
Flight booking to Delhi,Travel,2088,19-02-2023
Home insurance premium,Insurance,3352,20-02-2023
Health checkup,Medical,2287,20-02-2023
Uber ride to office,Transport,1356,20-02-2023
Insurance renewal,Insurance,4079,21-02-2023
Bought medicines,Medical,2725,21-02-2023
Swiggy food order,Dining,1332,21-02-2023
Course enrollment fee,Education,759,22-02-2023
Room rent payment,Rent,4794,22-02-2023
Dinner at KFC,Dining,4463,22-02-2023
Spotify premium payment,Entertainment,3798,23-02-2023
Room rent payment,Rent,4829,23-02-2023
Purchased milk and bread,Groceries,713,24-02-2023
Exam registration fee,Education,2048,24-02-2023
Clothes shopping,Shopping,3495,24-02-2023
Exam registration fee,Education,3793,25-02-2023
Spotify premium payment,Entertainment,1545,25-02-2023
Lunch with friends,Dining,3354,25-02-2023
Paid house rent,Rent,3813,26-02-2023
Room rent payment,Rent,1903,26-02-2023
Swiggy food order,Dining,4709,26-02-2023
Manicure session,Personal Care,1341,27-02-2023
Insurance renewal,Insurance,3631,27-02-2023
Bought shampoo and soap,Personal Care,3507,28-02-2023
Exam registration fee,Education,1686,28-02-2023
Dinner at KFC,Dining,3746,28-02-2023
Hotel reservation,Travel,3049,01-03-2023
Insurance renewal,Insurance,3202,01-03-2023
Cab booking for trip,Travel,748,01-03-2023
Bought rice and lentils,Groceries,2210,02-03-2023
Mobile recharge,Utilities,4147,02-03-2023
Metro card recharge,Transport,4787,02-03-2023
Weekly grocery run,Groceries,904,03-03-2023
Spotify premium payment,Entertainment,3524,03-03-2023
Flight booking to Delhi,Travel,1757,04-03-2023
Online course subscription,Education,2827,04-03-2023
Car insurance payment,Insurance,1783,04-03-2023
Purchased a handbag,Shopping,4981,05-03-2023
Life insurance policy,Insurance,3560,05-03-2023
Clothes shopping,Shopping,252,05-03-2023
Insurance renewal,Insurance,3305,06-03-2023
Internet subscription,Utilities,4268,06-03-2023
Swiggy food order,Dining,4546,07-03-2023
Advance rent for flat,Rent,816,07-03-2023
Insurance renewal,Insurance,4439,07-03-2023
Movie tickets,Entertainment,2377,08-03-2023
Hotel reservation,Travel,2981,08-03-2023
Bought shampoo and soap,Personal Care,247,08-03-2023
Netflix subscription,Entertainment,1980,09-03-2023
Paid health insurance premium,Insurance,3632,09-03-2023
Travel package booking,Travel,658,09-03-2023
Weekly grocery run,Groceries,3322,10-03-2023
Train ticket purchase,Travel,1197,10-03-2023
Bought a watch,Shopping,4332,11-03-2023
Bought college books,Education,3447,11-03-2023
Swiggy food order,Dining,2561,11-03-2023
Doctor consultation,Medical,1844,12-03-2023
Metro card recharge,Transport,709,12-03-2023
Car insurance payment,Insurance,2861,12-03-2023
Spotify premium payment,Entertainment,1419,13-03-2023
Metro card recharge,Transport,2036,13-03-2023
Bought college books,Education,196,13-03-2023
Car insurance payment,Insurance,3269,14-03-2023
Uber ride to office,Transport,2961,14-03-2023
Eye test at optician,Medical,1784,15-03-2023
Bought vegetables and fruits,Groceries,1893,15-03-2023
Dinner at KFC,Dining,538,15-03-2023
Breakfast at cafe,Dining,3026,16-03-2023
Travel package booking,Travel,2009,16-03-2023
Flight booking to Delhi,Travel,2435,16-03-2023
Online shopping on Amazon,Shopping,2969,17-03-2023
Health checkup,Medical,4786,17-03-2023
Flight booking to Delhi,Travel,1852,17-03-2023
Bought rice and lentils,Groceries,4111,18-03-2023
Weekly grocery run,Groceries,3419,18-03-2023
Amusement park visit,Entertainment,312,19-03-2023
Ordered pizza,Dining,673,19-03-2023
Bought medicines,Medical,1066,19-03-2023
Internet subscription,Utilities,3693,20-03-2023
Online course subscription,Education,2099,20-03-2023
Bought shampoo and soap,Personal Care,3773,20-03-2023
Travel package booking,Travel,4598,21-03-2023
Flight booking to Delhi,Travel,3158,21-03-2023
Netflix subscription,Entertainment,4140,21-03-2023
Bought a watch,Shopping,2106,22-03-2023
Skincare products,Personal Care,3220,22-03-2023
Online course subscription,Education,1732,23-03-2023
Weekly grocery run,Groceries,2305,23-03-2023
Bought shampoo and soap,Personal Care,1204,23-03-2023
Metro card recharge,Transport,4549,24-03-2023
Online shopping on Amazon,Shopping,3241,24-03-2023
Grocery shopping at local store,Groceries,1746,24-03-2023
Tuition fees payment,Education,4041,25-03-2023
Health checkup,Medical,4773,25-03-2023
Room rent payment,Rent,4732,25-03-2023
Purchased a handbag,Shopping,1698,26-03-2023
Insurance renewal,Insurance,1495,26-03-2023
Health checkup,Medical,4249,27-03-2023
Paid house rent,Rent,3973,27-03-2023
Health checkup,Medical,303,27-03-2023
Flight booking to Delhi,Travel,3233,28-03-2023
Water bill payment,Utilities,2607,28-03-2023
Rent for PG,Rent,148,28-03-2023
Metro card recharge,Transport,2250,29-03-2023
Netflix subscription,Entertainment,3011,29-03-2023
Water bill payment,Utilities,4483,30-03-2023
Bought a watch,Shopping,3827,30-03-2023
Metro card recharge,Transport,2919,30-03-2023
Bought college books,Education,3284,31-03-2023
Flight booking to Delhi,Travel,3841,31-03-2023
Hotel reservation,Travel,1006,31-03-2023
Rent for PG,Rent,4117,01-04-2023
Eye test at optician,Medical,210,01-04-2023
Facial treatment,Personal Care,4543,01-04-2023
Clothes shopping,Shopping,1350,02-04-2023
Amusement park visit,Entertainment,4961,02-04-2023
Filled petrol,Transport,4037,03-04-2023
Bought a watch,Shopping,1577,03-04-2023
Car insurance payment,Insurance,1268,03-04-2023
Game purchase,Entertainment,4546,04-04-2023
Mobile recharge,Utilities,4785,04-04-2023
Dental check-up,Medical,3154,04-04-2023
Swiggy food order,Dining,2785,05-04-2023
Breakfast at cafe,Dining,4605,05-04-2023
Bus fare,Transport,1004,05-04-2023
Netflix subscription,Entertainment,4615,06-04-2023
Doctor consultation,Medical,3496,06-04-2023
Paid house rent,Rent,1095,07-04-2023
Monthly rent for apartment,Rent,1743,07-04-2023
Bought college books,Education,3486,07-04-2023
Manicure session,Personal Care,612,08-04-2023
Uber ride to office,Transport,2535,08-04-2023
Game purchase,Entertainment,3404,08-04-2023
Course enrollment fee,Education,275,09-04-2023
Monthly rent for apartment,Rent,4943,09-04-2023
Travel package booking,Travel,1009,09-04-2023
Exam registration fee,Education,4598,10-04-2023
Swiggy food order,Dining,3117,10-04-2023
Uber ride to office,Transport,865,11-04-2023
Train ticket purchase,Travel,4804,11-04-2023
Breakfast at cafe,Dining,4692,11-04-2023
Bought college books,Education,3170,12-04-2023
Bought medicines,Medical,66,12-04-2023
Room rent payment,Rent,1293,12-04-2023
Hotel reservation,Travel,2255,13-04-2023
Netflix subscription,Entertainment,2574,13-04-2023
Movie tickets,Entertainment,1119,13-04-2023
Haircut at salon,Personal Care,3494,14-04-2023
Hotel reservation,Travel,2615,14-04-2023
Filled petrol,Transport,1110,15-04-2023
Skincare products,Personal Care,2377,15-04-2023
Car insurance payment,Insurance,3470,15-04-2023
Insurance renewal,Insurance,351,16-04-2023
Course enrollment fee,Education,4326,16-04-2023
Paid health insurance premium,Insurance,656,16-04-2023
Paid house rent,Rent,3220,17-04-2023
Rent for PG,Rent,749,17-04-2023
Water bill payment,Utilities,1189,17-04-2023
Game purchase,Entertainment,240,18-04-2023
Breakfast at cafe,Dining,2350,18-04-2023
Dental check-up,Medical,1030,19-04-2023
Paid electricity bill,Utilities,3025,19-04-2023
Ordered pizza,Dining,1234,19-04-2023
Game purchase,Entertainment,3377,20-04-2023
Tuition fees payment,Education,3444,20-04-2023
Bought shampoo and soap,Personal Care,177,20-04-2023
Eye test at optician,Medical,2115,21-04-2023
Grocery shopping at local store,Groceries,1866,21-04-2023
Exam registration fee,Education,619,22-04-2023
Uber ride to office,Transport,1945,22-04-2023
Internet subscription,Utilities,2783,22-04-2023
Bought vegetables and fruits,Groceries,3913,23-04-2023
Water bill payment,Utilities,4771,23-04-2023
Amusement park visit,Entertainment,4064,23-04-2023
Travel package booking,Travel,2951,24-04-2023
Online course subscription,Education,1736,24-04-2023
Course enrollment fee,Education,3059,24-04-2023
Monthly rent for apartment,Rent,204,25-04-2023
Bought a watch,Shopping,2587,25-04-2023
Uber ride to office,Transport,1459,26-04-2023
Clothes shopping,Shopping,4107,26-04-2023
Hotel reservation,Travel,834,26-04-2023
Bought new shoes,Shopping,3225,27-04-2023
Paid house rent,Rent,4391,27-04-2023
Clothes shopping,Shopping,2856,27-04-2023
Travel package booking,Travel,587,28-04-2023
Uber ride to office,Transport,1891,28-04-2023
Cab booking for trip,Travel,2505,28-04-2023
Haircut at salon,Personal Care,574,29-04-2023
Taxi to airport,Transport,3000,29-04-2023
Uber ride to office,Transport,4181,30-04-2023
Paid house rent,Rent,4830,30-04-2023
Grocery shopping at local store,Groceries,4165,30-04-2023
Dental check-up,Medical,2418,01-05-2023
Spotify premium payment,Entertainment,3897,01-05-2023
Insurance renewal,Insurance,4545,01-05-2023
Exam registration fee,Education,2751,02-05-2023
Doctor consultation,Medical,1021,02-05-2023
Taxi to airport,Transport,1216,02-05-2023
Hotel reservation,Travel,4979,03-05-2023
Bought shampoo and soap,Personal Care,2824,03-05-2023
Lunch with friends,Dining,2032,04-05-2023
Amusement park visit,Entertainment,903,04-05-2023
Doctor consultation,Medical,4196,04-05-2023
Filled petrol,Transport,3786,05-05-2023
Train ticket purchase,Travel,3819,05-05-2023
Skincare products,Personal Care,624,05-05-2023
Dinner at KFC,Dining,3311,06-05-2023
Bus fare,Transport,1198,06-05-2023
Tuition fees payment,Education,1765,06-05-2023
Dinner at KFC,Dining,4827,07-05-2023
Dental check-up,Medical,4983,07-05-2023
Health checkup,Medical,3904,08-05-2023
Manicure session,Personal Care,2541,08-05-2023
Swiggy food order,Dining,2710,08-05-2023
Dental check-up,Medical,3174,09-05-2023
Paid electricity bill,Utilities,3101,09-05-2023
Bought shampoo and soap,Personal Care,54,09-05-2023
Bought rice and lentils,Groceries,4919,10-05-2023
Flight booking to Delhi,Travel,926,10-05-2023
Internet subscription,Utilities,1041,11-05-2023
Exam registration fee,Education,4192,11-05-2023
Purchased milk and bread,Groceries,4414,11-05-2023
Filled petrol,Transport,4515,12-05-2023
Haircut at salon,Personal Care,685,12-05-2023
Eye test at optician,Medical,1743,12-05-2023
Haircut at salon,Personal Care,1732,13-05-2023
Insurance renewal,Insurance,4802,13-05-2023
Game purchase,Entertainment,169,13-05-2023
Eye test at optician,Medical,880,14-05-2023
Metro card recharge,Transport,3725,14-05-2023
Room rent payment,Rent,1419,15-05-2023
Ordered pizza,Dining,790,15-05-2023
Bought shampoo and soap,Personal Care,166,15-05-2023
Lunch with friends,Dining,2888,16-05-2023
Online shopping on Amazon,Shopping,1200,16-05-2023
Lunch with friends,Dining,1981,16-05-2023
Paid house rent,Rent,1062,17-05-2023
Movie tickets,Entertainment,1714,17-05-2023
Breakfast at cafe,Dining,1131,17-05-2023
Bought shampoo and soap,Personal Care,4779,18-05-2023
Dinner at KFC,Dining,562,18-05-2023
Train ticket purchase,Travel,2899,19-05-2023
Purchased a handbag,Shopping,609,19-05-2023
Bought a watch,Shopping,3722,19-05-2023
Lunch with friends,Dining,4633,20-05-2023
Mobile recharge,Utilities,3393,20-05-2023
Dinner at KFC,Dining,4120,20-05-2023
Doctor consultation,Medical,4849,21-05-2023
Hotel reservation,Travel,1520,21-05-2023
Flight booking to Delhi,Travel,630,21-05-2023
Bought rice and lentils,Groceries,2344,22-05-2023
Mobile recharge,Utilities,3197,22-05-2023
Travel package booking,Travel,4299,23-05-2023
Travel package booking,Travel,1729,23-05-2023
Skincare products,Personal Care,3556,23-05-2023
Internet subscription,Utilities,2794,24-05-2023
Room rent payment,Rent,3406,24-05-2023
Dental check-up,Medical,4095,24-05-2023
Paid health insurance premium,Insurance,1293,25-05-2023
Car insurance payment,Insurance,3168,25-05-2023
Manicure session,Personal Care,2191,25-05-2023
Tuition fees payment,Education,3109,26-05-2023
Mobile recharge,Utilities,4598,26-05-2023
Skincare products,Personal Care,3009,27-05-2023
Mobile recharge,Utilities,2315,27-05-2023
Filled petrol,Transport,2529,27-05-2023
Lunch with friends,Dining,4696,28-05-2023
Movie tickets,Entertainment,1685,28-05-2023
Bought vegetables and fruits,Groceries,1807,28-05-2023
Amusement park visit,Entertainment,4502,29-05-2023
Monthly rent for apartment,Rent,2120,29-05-2023
Netflix subscription,Entertainment,2899,29-05-2023
Insurance renewal,Insurance,3301,30-05-2023
Haircut at salon,Personal Care,3780,30-05-2023
Online shopping on Amazon,Shopping,2539,31-05-2023
Dental check-up,Medical,1681,31-05-2023
Insurance renewal,Insurance,2866,31-05-2023
Weekly grocery run,Groceries,1065,01-06-2023
Haircut at salon,Personal Care,1398,01-06-2023
Clothes shopping,Shopping,4661,01-06-2023
Bought college books,Education,3137,02-06-2023
Hotel reservation,Travel,2889,02-06-2023
Bought new shoes,Shopping,385,03-06-2023
Online course subscription,Education,4642,03-06-2023
Health checkup,Medical,945,03-06-2023
Online course subscription,Education,3596,04-06-2023
Purchased milk and bread,Groceries,901,04-06-2023
Haircut at salon,Personal Care,1737,04-06-2023
Exam registration fee,Education,1981,05-06-2023
Bought new shoes,Shopping,3796,05-06-2023
Water bill payment,Utilities,2477,05-06-2023
Health checkup,Medical,1618,06-06-2023
Eye test at optician,Medical,4050,06-06-2023
Eye test at optician,Medical,2788,07-06-2023
Doctor consultation,Medical,3548,07-06-2023
Movie tickets,Entertainment,3963,07-06-2023
Online shopping on Amazon,Shopping,1116,08-06-2023
Dinner at KFC,Dining,4430,08-06-2023
Clothes shopping,Shopping,2494,08-06-2023
Taxi to airport,Transport,4157,09-06-2023
Rent for PG,Rent,3423,09-06-2023
Game purchase,Entertainment,4019,09-06-2023
Movie tickets,Entertainment,2596,10-06-2023
Cab booking for trip,Travel,803,10-06-2023
Travel package booking,Travel,2132,11-06-2023
Bought rice and lentils,Groceries,2824,11-06-2023
Dinner at KFC,Dining,2946,11-06-2023
Lunch with friends,Dining,4235,12-06-2023
Skincare products,Personal Care,825,12-06-2023
Dinner at KFC,Dining,1675,12-06-2023
Game purchase,Entertainment,3119,13-06-2023
Home insurance premium,Insurance,467,13-06-2023
Purchased a handbag,Shopping,164,13-06-2023
Tuition fees payment,Education,666,14-06-2023
Taxi to airport,Transport,4024,14-06-2023
Home insurance premium,Insurance,3317,15-06-2023
Insurance renewal,Insurance,875,15-06-2023
Haircut at salon,Personal Care,1566,15-06-2023
Doctor consultation,Medical,3196,16-06-2023
Paid health insurance premium,Insurance,462,16-06-2023
Dental check-up,Medical,778,16-06-2023
Bought shampoo and soap,Personal Care,3398,17-06-2023
Lunch with friends,Dining,2858,17-06-2023
Home insurance premium,Insurance,725,17-06-2023
Purchased a handbag,Shopping,3515,18-06-2023
Home insurance premium,Insurance,2554,18-06-2023
Bought vegetables and fruits,Groceries,3017,19-06-2023
Bought shampoo and soap,Personal Care,2836,19-06-2023
Metro card recharge,Transport,1172,19-06-2023
Dinner at KFC,Dining,4129,20-06-2023
Bought medicines,Medical,1621,20-06-2023
Cab booking for trip,Travel,2193,20-06-2023
Car insurance payment,Insurance,1737,21-06-2023
Exam registration fee,Education,4182,21-06-2023
Room rent payment,Rent,3901,22-06-2023
Manicure session,Personal Care,3490,22-06-2023
Exam registration fee,Education,3816,22-06-2023
Dinner at KFC,Dining,2376,23-06-2023
Gas connection charges,Utilities,2964,23-06-2023
Bought a watch,Shopping,4002,23-06-2023
Online course subscription,Education,645,24-06-2023
Gas connection charges,Utilities,778,24-06-2023
Movie tickets,Entertainment,1415,24-06-2023
Purchased milk and bread,Groceries,4542,25-06-2023
Online course subscription,Education,748,25-06-2023
Spotify premium payment,Entertainment,445,26-06-2023
Clothes shopping,Shopping,4221,26-06-2023
Car insurance payment,Insurance,4410,26-06-2023
Purchased milk and bread,Groceries,2552,27-06-2023
Bought shampoo and soap,Personal Care,1869,27-06-2023
Paid electricity bill,Utilities,767,27-06-2023
Train ticket purchase,Travel,2832,28-06-2023
Train ticket purchase,Travel,4996,28-06-2023
Online shopping on Amazon,Shopping,3627,28-06-2023
Uber ride to office,Transport,193,29-06-2023
Clothes shopping,Shopping,3190,29-06-2023
Metro card recharge,Transport,4541,30-06-2023
Spotify premium payment,Entertainment,2988,30-06-2023
Eye test at optician,Medical,3686,30-06-2023
Bought shampoo and soap,Personal Care,3272,01-07-2023
Bought new shoes,Shopping,1217,01-07-2023
Eye test at optician,Medical,2666,01-07-2023
Life insurance policy,Insurance,1112,02-07-2023
Eye test at optician,Medical,2206,02-07-2023
Insurance renewal,Insurance,3032,02-07-2023
Manicure session,Personal Care,3344,03-07-2023
Breakfast at cafe,Dining,4779,03-07-2023
Bought rice and lentils,Groceries,1206,04-07-2023
Netflix subscription,Entertainment,782,04-07-2023
Internet subscription,Utilities,4380,04-07-2023
Lunch with friends,Dining,4896,05-07-2023
Game purchase,Entertainment,1003,05-07-2023
Exam registration fee,Education,2589,05-07-2023
Internet subscription,Utilities,3374,06-07-2023
Breakfast at cafe,Dining,3351,06-07-2023
Taxi to airport,Transport,1592,06-07-2023
Bus fare,Transport,1241,07-07-2023
Bought a watch,Shopping,3043,07-07-2023
Haircut at salon,Personal Care,2731,08-07-2023
Taxi to airport,Transport,1267,08-07-2023
Skincare products,Personal Care,1590,08-07-2023
Ordered pizza,Dining,3286,09-07-2023
Travel package booking,Travel,2436,09-07-2023
Advance rent for flat,Rent,3769,09-07-2023
Spotify premium payment,Entertainment,1438,10-07-2023
Bought vegetables and fruits,Groceries,1906,10-07-2023
Ordered pizza,Dining,1415,10-07-2023
Movie tickets,Entertainment,549,11-07-2023
Online course subscription,Education,1730,11-07-2023
Online course subscription,Education,560,12-07-2023
Water bill payment,Utilities,4362,12-07-2023
Bought shampoo and soap,Personal Care,1374,12-07-2023
Cab booking for trip,Travel,1205,13-07-2023
Facial treatment,Personal Care,1877,13-07-2023
Exam registration fee,Education,3191,13-07-2023
Mobile recharge,Utilities,3536,14-07-2023
Dental check-up,Medical,1860,14-07-2023
Spotify premium payment,Entertainment,2973,15-07-2023
Paid electricity bill,Utilities,2264,15-07-2023
Course enrollment fee,Education,4236,15-07-2023
Haircut at salon,Personal Care,763,16-07-2023
Bought vegetables and fruits,Groceries,3652,16-07-2023
Lunch with friends,Dining,4184,16-07-2023
Breakfast at cafe,Dining,3572,17-07-2023
Mobile recharge,Utilities,4318,17-07-2023
Online course subscription,Education,4798,17-07-2023
Bought medicines,Medical,4899,18-07-2023
Amusement park visit,Entertainment,1293,18-07-2023
Clothes shopping,Shopping,3759,19-07-2023
Ordered pizza,Dining,1131,19-07-2023
Travel package booking,Travel,505,19-07-2023
Home insurance premium,Insurance,4974,20-07-2023
Rent for PG,Rent,944,20-07-2023
Breakfast at cafe,Dining,1434,20-07-2023
Bought a watch,Shopping,2008,21-07-2023
Insurance renewal,Insurance,3122,21-07-2023
Train ticket purchase,Travel,2046,21-07-2023
Life insurance policy,Insurance,4335,22-07-2023
Dinner at KFC,Dining,554,22-07-2023
Netflix subscription,Entertainment,1264,23-07-2023
Health checkup,Medical,1581,23-07-2023
Game purchase,Entertainment,3490,23-07-2023
Online course subscription,Education,873,24-07-2023
Tuition fees payment,Education,978,24-07-2023
Purchased a handbag,Shopping,183,24-07-2023
Bought medicines,Medical,2155,25-07-2023
Water bill payment,Utilities,3677,25-07-2023
Purchased milk and bread,Groceries,4830,25-07-2023
Insurance renewal,Insurance,1902,26-07-2023
Uber ride to office,Transport,4960,26-07-2023
Dental check-up,Medical,4225,27-07-2023
Bought rice and lentils,Groceries,2983,27-07-2023
Swiggy food order,Dining,3334,27-07-2023
Weekly grocery run,Groceries,4348,28-07-2023
Paid electricity bill,Utilities,2861,28-07-2023
Ordered pizza,Dining,1300,28-07-2023
Bought new shoes,Shopping,3562,29-07-2023
Paid health insurance premium,Insurance,1306,29-07-2023
Filled petrol,Transport,3426,29-07-2023
Advance rent for flat,Rent,3536,30-07-2023
Exam registration fee,Education,3634,30-07-2023
Hotel reservation,Travel,1446,31-07-2023
Bought college books,Education,3687,31-07-2023
Dinner at KFC,Dining,3380,31-07-2023
Bus fare,Transport,2753,01-08-2023
Paid health insurance premium,Insurance,520,01-08-2023
Bought vegetables and fruits,Groceries,1403,01-08-2023
Water bill payment,Utilities,2833,02-08-2023
Movie tickets,Entertainment,2881,02-08-2023
Course enrollment fee,Education,407,02-08-2023
Bought vegetables and fruits,Groceries,3069,03-08-2023
Grocery shopping at local store,Groceries,717,03-08-2023
Netflix subscription,Entertainment,4518,04-08-2023
Paid house rent,Rent,1195,04-08-2023
Train ticket purchase,Travel,4235,04-08-2023
Room rent payment,Rent,3769,05-08-2023
Insurance renewal,Insurance,2795,05-08-2023
Gas connection charges,Utilities,589,05-08-2023
Game purchase,Entertainment,2829,06-08-2023
Netflix subscription,Entertainment,4186,06-08-2023
Insurance renewal,Insurance,4885,07-08-2023
Hotel reservation,Travel,3825,07-08-2023
Flight booking to Delhi,Travel,2558,07-08-2023
Health checkup,Medical,2829,08-08-2023
Bought shampoo and soap,Personal Care,974,08-08-2023
Home insurance premium,Insurance,3006,08-08-2023
Gas connection charges,Utilities,1631,09-08-2023
Movie tickets,Entertainment,3374,09-08-2023
Rent for PG,Rent,4535,09-08-2023
Metro card recharge,Transport,305,10-08-2023
Swiggy food order,Dining,4854,10-08-2023
Room rent payment,Rent,1888,11-08-2023
Netflix subscription,Entertainment,1994,11-08-2023
Paid health insurance premium,Insurance,59,11-08-2023
Amusement park visit,Entertainment,2921,12-08-2023
Bought medicines,Medical,847,12-08-2023
Netflix subscription,Entertainment,1065,12-08-2023
Weekly grocery run,Groceries,1874,13-08-2023
Skincare products,Personal Care,4519,13-08-2023
Bought college books,Education,3186,13-08-2023
